@relation zipf_color

@attribute -0.8670712147268158 numeric
@attribute 0.9602026049883123 numeric

@data
-0.451233,0.876654
-0.66215,0.938248
-0.374012,0.731964
-0.370294,0.775357
-0.326727,0.764512
-0.379446,0.777966
-0.530696,0.905317
-0.454339,0.883635
-0.452884,0.879553
-0.449521,0.881948
-0.448494,0.87861
-0.641619,0.929866
-0.757969,0.954376
-0.750848,0.955707
-0.715467,0.945541
-0.762544,0.956531
-1.009844,0.951355
-0.580002,0.918766
-0.534342,0.906481
-0.507153,0.898816
-0.514862,0.90453
-0.780762,0.929977
-0.804486,0.94401
-0.816147,0.928481
-0.854442,0.945386
-0.816318,0.913792
-1.068134,0.883549
-0.375206,0.760606
-0.307632,0.791518
-0.329332,0.704317
-0.304665,0.766715
-0.499431,0.898251
-0.449086,0.829184
-0.365102,0.832964
-0.461865,0.82025
-0.487186,0.88216
-0.61025,0.927766
-0.386604,0.849111
-0.337137,0.818801
-0.374522,0.832992
-0.314765,0.80199
-0.510359,0.893946
-0.523324,0.903109
-0.42508,0.870908
-0.538081,0.9112
-0.475644,0.894297
-0.698475,0.933796
-0.455656,0.869861
-0.447234,0.882538
-0.384481,0.820883
-0.467516,0.881516
-0.612789,0.932508
-0.399224,0.778448
-0.301332,0.768542
-0.384219,0.761053
-0.301875,0.696202
-0.513157,0.899519
-0.469498,0.880097
-0.366494,0.821438
-0.431602,0.848183
-0.339159,0.822468
-0.553543,0.921522
-0.698852,0.941801
-0.695612,0.927717
-0.686665,0.942272
-0.685015,0.936984
-0.94913,0.943774
-0.36675,0.836417
-0.323728,0.807078
-0.360134,0.832679
-0.279404,0.769737
-0.517814,0.89366
-0.465122,0.885012
-0.473936,0.884907
-0.510889,0.898802
-0.457015,0.886912
-0.682027,0.937175
-0.417217,0.864619
-0.442369,0.874833
-0.386305,0.852633
-0.419819,0.858903
-0.56354,0.898218
-0.412947,0.857226
-0.371242,0.842907
-0.393337,0.852234
-0.363291,0.838528
-0.606395,0.917179
-0.390849,0.832982
-0.426715,0.858051
-0.455869,0.828306
-0.395713,0.839991
-0.59996,0.930091
-0.776868,0.935931
-0.7016,0.923002
-0.705954,0.925005
-0.724621,0.929423
-0.987095,0.929344
-0.80815,0.945582
-0.805916,0.958021
-0.766477,0.931707
-0.807928,0.95745
-1.014382,0.969014
-0.687137,0.947395
-0.691862,0.946185
-0.696373,0.949951
-0.648475,0.938805
-0.922477,0.929203
-0.690434,0.919797
-0.645369,0.908773
-0.726675,0.924319
-0.676381,0.89405
-0.903422,0.854094
-0.602379,0.932145
-0.521943,0.904364
-0.601271,0.928591
-0.604858,0.905168
-0.800457,0.917423
-0.513734,0.882788
-0.510536,0.892528
-0.552499,0.901834
-0.507006,0.895663
-0.705653,0.941118
-0.563651,0.918853
-0.541526,0.901447
-0.500158,0.887595
-0.525814,0.906415
-0.770692,0.920654
-0.573149,0.868765
-0.547864,0.863952
-0.58035,0.843046
-0.567295,0.859129
-0.727609,0.944139
-0.592051,0.900258
-0.553054,0.891411
-0.6135,0.894944
-0.552601,0.889679
-0.763297,0.946939
-0.743729,0.947551
-0.766424,0.9498
-0.735827,0.946307
-0.759073,0.954818
-0.967265,0.963087
-0.908343,0.968409
-0.947726,0.967363
-0.965849,0.958593
-0.937505,0.969663
-1.187051,0.955315
-0.610471,0.930605
-0.590364,0.925399
-0.494348,0.896446
-0.548474,0.916777
-0.803926,0.923366
-0.496042,0.854766
-0.493684,0.866261
-0.500699,0.846756
-0.487532,0.83241
-0.678858,0.942656
-0.496059,0.895782
-0.614574,0.930584
-0.513786,0.901381
-0.507796,0.904914
-0.744448,0.940369
-0.933223,0.969609
-1.039106,0.973026
-0.944312,0.971335
-1.030591,0.975961
-1.221352,0.9664
-0.528195,0.908528
-0.561792,0.918914
-0.514171,0.88935
-0.562936,0.90805
-0.770548,0.946562
-0.858562,0.950194
-0.819297,0.923516
-0.887105,0.945185
-0.808926,0.922216
-1.107313,0.894706
-0.864093,0.955849
-0.829921,0.93848
-0.831184,0.95464
-0.845433,0.929538
-1.084373,0.894023
-0.904477,0.96599
-0.866082,0.960485
-0.870313,0.962424
-0.834533,0.953507
-1.111867,0.942246
-0.84046,0.944066
-0.803551,0.916762
-0.829262,0.940527
-0.780374,0.911148
-1.05014,0.867993
-0.915606,0.960001
-0.948032,0.967027
-0.918246,0.962662
-0.930269,0.959598
-1.183117,0.934656
-0.913868,0.943657
-0.897365,0.935673
-0.892313,0.924544
-0.889149,0.929824
-1.161112,0.899072
-0.580657,0.907825
-0.503157,0.903713
-0.533289,0.909808
-0.508443,0.904968
-0.754781,0.936782
-0.869782,0.960691
-0.862259,0.950016
-0.902804,0.960172
-0.861164,0.946673
-1.135599,0.923099
-1.057526,0.939447
-1.119608,0.917637
-1.071723,0.925132
-1.076015,0.902999
-1.260777,0.881313
-0.836963,0.944653
-0.839788,0.936093
-0.857209,0.930857
-0.821955,0.952243
-1.075347,0.903161
-1.001536,0.971232
-0.982624,0.958285
-1.005891,0.954756
-1.008665,0.944077
-1.235676,0.923232
-0.475028,0.843879
-0.451395,0.877493
-0.429884,0.835713
-0.471141,0.875755
-0.651401,0.934543
-1.020799,0.923002
-1.038101,0.916847
-1.004088,0.913279
-0.956519,0.933109
-1.29681,0.895488
-0.503682,0.897293
-0.608983,0.928907
-0.526137,0.907209
